method,source,image,prediction_path,pred_n,gt_n,dice,binary_iou,pq,sq,rq,aji,precision,recall,f1,tp,fp,fn
cellpose_official_cyto3,cellpose,cellpose_000.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/cellpose_000_cp_masks.tif,91,90,0.952566532311881,0.9094291539245668,0.8688674348493967,0.8935511687939818,0.9723756906077348,0.8917649672780157,0.967032967032967,0.9777777777777777,0.9723756906077348,88,3,2
cellpose_official_cyto3,cellpose,cellpose_001.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/cellpose_001_cp_masks.tif,87,93,0.9175515012478105,0.8476629625386642,0.7717021173901027,0.8268236972036815,0.9333333333333333,0.8091392195628093,0.9655172413793104,0.9032258064516129,0.9333333333333333,84,3,9
cellpose_official_cyto3,cellpose,cellpose_002.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/cellpose_002_cp_masks.tif,74,76,0.942724448449483,0.8916544481398038,0.8345050843556722,0.8692761295371585,0.96,0.8660293270304912,0.972972972972973,0.9473684210526315,0.96,72,2,4
cellpose_official_cyto3,cellpose,cellpose_003.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/cellpose_003_cp_masks.tif,95,95,0.9071727444644638,0.8301154092463654,0.7543652358808015,0.7962744156519572,0.9473684210526315,0.8005040349607228,0.9473684210526315,0.9473684210526315,0.9473684210526315,90,5,5
cellpose_official_cyto3,cellpose,cellpose_004.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/cellpose_004_cp_masks.tif,97,97,0.8888303797468354,0.7999052201808108,0.795017264552952,0.8382247245830038,0.9484536082474226,0.7143700377306081,0.9484536082474226,0.9484536082474226,0.9484536082474226,92,5,5
cellpose_official_cyto3,cellpose,cellpose_005.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/cellpose_005_cp_masks.tif,126,124,0.9151774390665713,0.8436194747637925,0.77574818277359,0.8217671427686336,0.944,0.802264935064935,0.9365079365079365,0.9516129032258065,0.944,118,8,6
cellpose_official_cyto3,cellpose,cellpose_006.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/cellpose_006_cp_masks.tif,62,65,0.9449456289628437,0.8956369026118799,0.846094325771482,0.8954498281081518,0.9448818897637795,0.8763330169023461,0.967741935483871,0.9230769230769231,0.9448818897637795,60,2,5
cellpose_official_cyto3,cellpose,cellpose_007.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/cellpose_007_cp_masks.tif,146,151,0.8748644000529171,0.7775635222048466,0.741193003526039,0.7751208522789915,0.9562289562289562,0.7084416318228048,0.9726027397260274,0.9403973509933775,0.9562289562289562,142,4,9
cellpose_official_cyto3,cellpose,cellpose_008.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/cellpose_008_cp_masks.tif,76,77,0.9308124421071503,0.8705791937399567,0.8280766602435143,0.8446381934483846,0.9803921568627451,0.8469391978587492,0.9868421052631579,0.974025974025974,0.9803921568627451,75,1,2
cellpose_official_cyto3,cellpose,cellpose_009.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/cellpose_009_cp_masks.tif,120,123,0.8931325479769513,0.806901084989491,0.7275533077648147,0.8036156990311363,0.9053497942386831,0.693288718202213,0.9166666666666666,0.8943089430894309,0.9053497942386831,110,10,13
