method,source,image,prediction_path,pred_n,gt_n,dice,binary_iou,pq,sq,rq,aji,precision,recall,f1,tp,fp,fn
cellsam_generalist,cellpose,cellpose_000.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_000_cellsam.tif,92,90,0.8754798283907873,0.7785363486525606,0.7272422104091435,0.7695237342701402,0.945054945054945,0.7430405798765138,0.9347826086956522,0.9555555555555556,0.945054945054945,86,6,4
cellsam_generalist,cellpose,cellpose_001.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_001_cellsam.tif,88,93,0.8412906539782098,0.7260584001213266,0.6529595983621165,0.7386605456471443,0.8839779005524862,0.6720648230813566,0.9090909090909091,0.8602150537634409,0.8839779005524862,80,8,13
cellsam_generalist,cellpose,cellpose_002.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_002_cellsam.tif,77,76,0.8667073115657319,0.7647691725278447,0.7192055867388357,0.7749186955707174,0.9281045751633987,0.7408189938973457,0.922077922077922,0.9342105263157895,0.9281045751633987,71,6,5
cellsam_generalist,cellpose,cellpose_003.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_003_cellsam.tif,96,95,0.8740780067881454,0.7763219939373527,0.6898006937266644,0.7659996075685634,0.900523560209424,0.6944982917608251,0.8958333333333334,0.9052631578947369,0.900523560209424,86,10,9
cellsam_generalist,cellpose,cellpose_004.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_004_cellsam.tif,102,97,0.8715147580618081,0.7722872445943265,0.7274671786993592,0.7619261503219604,0.9547738693467337,0.749331819116337,0.9313725490196079,0.979381443298969,0.9547738693467337,95,7,2
cellsam_generalist,cellpose,cellpose_005.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_005_cellsam.tif,131,124,0.8887219914948646,0.7997296668277925,0.7187607297710344,0.7701007818975368,0.9333333333333333,0.7388991714379617,0.9083969465648855,0.9596774193548387,0.9333333333333333,119,12,5
cellsam_generalist,cellpose,cellpose_006.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_006_cellsam.tif,68,65,0.8695553487527521,0.7692153240703558,0.7015559924276251,0.7775578916072845,0.9022556390977443,0.7446416726891131,0.8823529411764706,0.9230769230769231,0.9022556390977443,60,8,5
cellsam_generalist,cellpose,cellpose_007.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_007_cellsam.tif,148,151,0.8848693014541886,0.7935117404696188,0.7197331010697279,0.7685721329280308,0.9364548494983278,0.7370047167527046,0.9459459459459459,0.9271523178807947,0.9364548494983278,140,8,11
cellsam_generalist,cellpose,cellpose_008.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_008_cellsam.tif,76,77,0.8347219150138858,0.7163285105664994,0.660221152835422,0.7215274027415685,0.9150326797385621,0.655218704553082,0.9210526315789473,0.9090909090909091,0.9150326797385621,70,6,7
cellsam_generalist,cellpose,cellpose_009.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_009_cellsam.tif,124,123,0.893146120894812,0.806923242313481,0.667788966947239,0.7854470230284192,0.8502024291497976,0.6301037726699641,0.8467741935483871,0.8536585365853658,0.8502024291497976,105,19,18
cellsam_generalist,cellpose,cellpose_010.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_010_cellsam.tif,63,68,0.8721098353684467,0.7732223072034127,0.7138099925208637,0.7792425751686096,0.916030534351145,0.7351112048065774,0.9523809523809523,0.8823529411764706,0.916030534351145,60,3,8
cellsam_generalist,cellpose,cellpose_011.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_011_cellsam.tif,88,94,0.7629668944470245,0.6167716054017527,0.49111841406141005,0.647706893907077,0.7582417582417582,0.46745850167940417,0.7840909090909091,0.7340425531914894,0.7582417582417582,69,19,25
cellsam_generalist,cellpose,cellpose_012.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_012_cellsam.tif,126,124,0.8089328650609415,0.6791664729312937,0.6078416299819946,0.7100953621284984,0.856,0.5150962130111316,0.8492063492063492,0.8629032258064516,0.856,107,19,17
cellsam_generalist,cellpose,cellpose_013.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_013_cellsam.tif,85,84,0.7913050551568356,0.6546772273127297,0.6094939870947211,0.6688602845390121,0.9112426035502958,0.5899499587134515,0.9058823529411765,0.9166666666666666,0.9112426035502958,77,8,7
cellsam_generalist,cellpose,cellpose_014.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_014_cellsam.tif,85,88,0.8673020348424552,0.7656957649092481,0.6885795669059532,0.744526656717062,0.9248554913294798,0.7218097076250116,0.9411764705882353,0.9090909090909091,0.9248554913294798,80,5,8
cellsam_generalist,cellpose,cellpose_015.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_015_cellsam.tif,142,146,0.8851899992354155,0.7940276806167099,0.7164366551571422,0.7756908146062291,0.9236111111111112,0.7168322810149512,0.9366197183098591,0.910958904109589,0.9236111111111112,133,9,13
cellsam_generalist,cellpose,cellpose_016.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_016_cellsam.tif,146,149,0.8794825973833575,0.7848897262368097,0.7184543629824105,0.7623886225892486,0.9423728813559322,0.7275184746792923,0.952054794520548,0.9328859060402684,0.9423728813559322,139,7,10
cellsam_generalist,cellpose,cellpose_017.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_017_cellsam.tif,97,90,0.8257525475344552,0.7032185131001463,0.6383542542789071,0.7278795460375344,0.8770053475935828,0.636526276556094,0.845360824742268,0.9111111111111111,0.8770053475935828,82,15,8
cellsam_generalist,cellpose,cellpose_018.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_018_cellsam.tif,101,96,0.826847418341517,0.7048080797577112,0.660294207219545,0.7390793114900589,0.8934010152284264,0.6039427180785364,0.8712871287128713,0.9166666666666666,0.8934010152284264,88,13,8
cellsam_generalist,cellpose,cellpose_019.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_019_cellsam.tif,90,90,0.847242575003769,0.7349703906756785,0.6834584673245748,0.7593982970273053,0.9,0.6573715930556805,0.9,0.9,0.9,81,9,9
cellsam_generalist,cellpose,cellpose_020.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_020_cellsam.tif,113,115,0.8424211342762324,0.7277440520214705,0.6476079486964041,0.7098779437633661,0.9122807017543859,0.6643552483069978,0.9203539823008849,0.9043478260869565,0.9122807017543859,104,9,11
cellsam_generalist,cellpose,cellpose_021.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/cellpose_021_cellsam.tif,97,98,0.8401475406540835,0.7243572524111158,0.6338280005332751,0.7103244833562566,0.8923076923076924,0.6185247541663617,0.8969072164948454,0.8877551020408163,0.8923076923076924,87,10,11
