source,image,proposals,final_instances,sam2_selected,coarse_selected,watershed_selected,universal_boundary_selected,cellpose_style_selected,separator_selected,external_selected,separator_generated,separator_before_ranker,separator_after_ranker,separator_after_set_selector,separator_after_merge,proposals_before_ranker,proposals_after_ranker,proposals_after_set_selector,proposals_after_merge,ranked_proposals,final_pred_n,final_gt_n,final_dice,final_binary_iou,final_pq,final_sq,final_rq,final_aji,final_precision,final_recall,final_f1,final_tp,final_fp,final_fn
cellpose,cellpose_000.png,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,90,0.9637935980111977,0.9301173937560876,0.6289260334905549,0.8300361023392788,0.7577092511013216,0.7156735869347284,0.6277372262773723,0.9555555555555556,0.7577092511013216,86,51,4
cellpose,cellpose_001.png,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,93,0.9460082018593903,0.8975479728858252,0.654303319824552,0.8530790119231502,0.7669902912621359,0.7081726117525641,0.6991150442477876,0.8494623655913979,0.7669902912621359,79,34,14
cellpose,cellpose_002.png,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,76,0.9601724582209904,0.9233958706058701,0.6606968111462063,0.8494673286165509,0.7777777777777778,0.7234540353765665,0.6730769230769231,0.9210526315789473,0.7777777777777778,70,34,6
cellpose,cellpose_003.png,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,95,0.947563884643403,0.9003528773072746,0.7040179535962533,0.8187175078338451,0.8599033816425121,0.7309251841962122,0.7946428571428571,0.9368421052631579,0.8599033816425121,89,23,6
cellpose,cellpose_004.png,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,97,0.957517158458995,0.9184968042673843,0.7396687762681828,0.845897802647124,0.8744186046511628,0.7865589653513532,0.7966101694915254,0.9690721649484536,0.8744186046511628,94,24,3
cellpose,cellpose_005.png,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,124,0.9475511012650458,0.9003297950180804,0.7963226025629228,0.8522626200983346,0.9343629343629344,0.8356449233794968,0.8962962962962963,0.9758064516129032,0.9343629343629344,121,14,3
cellpose,cellpose_006.png,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,65,0.9616989101527872,0.9262235391607865,0.5911272399127483,0.8153479171210322,0.725,0.6564561581567099,0.6105263157894737,0.8923076923076924,0.725,58,37,7
cellpose,cellpose_007.png,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,151,0.9370352929513235,0.8815300138731827,0.7840875492033819,0.835815547241105,0.9381107491856677,0.7935433683391676,0.9230769230769231,0.9536423841059603,0.9381107491856677,144,12,7
cellpose,cellpose_008.png,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,77,0.9517567577311039,0.907954107742255,0.6515208417954653,0.8324988534053167,0.782608695652174,0.6979004713227642,0.6728971962616822,0.935064935064935,0.782608695652174,72,35,5
cellpose,cellpose_009.png,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,123,0.9383159410483948,0.8837995947447546,0.7625632521663258,0.8388195773829584,0.9090909090909091,0.7662849044317616,0.8846153846153846,0.9349593495934959,0.9090909090909091,115,15,8
cellpose,cellpose_010.png,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,68,0.9456763202725724,0.8969506598932279,0.6209852846362922,0.8314887709536795,0.7468354430379747,0.6541175409725196,0.6555555555555556,0.8676470588235294,0.7468354430379747,59,31,9
cellpose,cellpose_011.png,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,94,0.946895266367002,0.8991463395102263,0.7154994005081701,0.8293288505890153,0.8627450980392157,0.7498782521435001,0.8,0.9361702127659575,0.8627450980392157,88,22,6
cellpose,cellpose_012.png,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,124,0.8679443631205033,0.7666976205453874,0.7441517360337818,0.8191922472304657,0.9083969465648855,0.6804828706298024,0.8623188405797102,0.9596774193548387,0.9083969465648855,119,19,5
cellpose,cellpose_013.png,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,84,0.9568602806495865,0.9172887034207123,0.7068746926936696,0.8518746296564738,0.8297872340425532,0.7228662723143551,0.75,0.9285714285714286,0.8297872340425532,78,26,6
cellpose,cellpose_014.png,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,88,0.9423367462131637,0.8909610339956882,0.6192019764969989,0.8136949050120819,0.7609756097560976,0.643886585850006,0.6666666666666666,0.8863636363636364,0.7609756097560976,78,39,10
cellpose,cellpose_015.png,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,146,0.935652586696505,0.8790856960815546,0.7984013406896754,0.8414805497196939,0.9488054607508533,0.8099789803151418,0.9455782312925171,0.952054794520548,0.9488054607508533,139,8,7
cellpose,cellpose_016.png,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,149,0.9429680901468801,0.892090467049297,0.7664404212476347,0.8387966847919918,0.9137380191693291,0.7751570170867502,0.8719512195121951,0.959731543624161,0.9137380191693291,143,21,6
