method,source,image,prediction_path,pred_n,gt_n,dice,binary_iou,pq,sq,rq,aji,precision,recall,f1,tp,fp,fn
cellpose_official_cyto3,dsb2018,dsb2018_00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552_cp_masks.tif,22,27,0.9034408064650504,0.823886947272451,0.744515526051424,0.8291195631027222,0.8979591836734694,0.8131419939577039,1.0,0.8148148148148148,0.8979591836734694,22,0,5
cellpose_official_cyto3,dsb2018,dsb2018_003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1_cp_masks.tif,36,36,0.9637517478756588,0.9300394436371185,0.9266521400875516,0.9266521400875516,1.0,0.9292384312097945,1.0,1.0,1.0,36,0,0
cellpose_official_cyto3,dsb2018,dsb2018_00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e_cp_masks.tif,65,70,0.8465488569287842,0.7339269305111061,0.6621301315448902,0.8432789411184922,0.7851851851851852,0.5723521636687546,0.8153846153846154,0.7571428571428571,0.7851851851851852,53,12,17
cellpose_official_cyto3,dsb2018,dsb2018_0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed_cp_masks.tif,57,86,0.7093517955764607,0.5496089431227222,0.24519194006086228,0.6742778351673713,0.36363636363636365,0.24639351821355643,0.45614035087719296,0.3023255813953488,0.36363636363636365,26,31,60
cellpose_official_cyto3,dsb2018,dsb2018_01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf_cp_masks.tif,7,7,0.853863689961481,0.7449931412894376,0.6456197329929897,0.7532230218251547,0.8571428571428571,0.7202163624070318,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1
cellpose_official_cyto3,dsb2018,dsb2018_0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21_cp_masks.tif,16,16,0.9662958658475843,0.9347895920334083,0.9068864248692989,0.9068864248692989,1.0,0.931686978832585,1.0,1.0,1.0,16,0,0
cellpose_official_cyto3,dsb2018,dsb2018_0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426_cp_masks.tif,53,62,0.9153319476708645,0.8438820943470664,0.6818382252817569,0.8341637862489578,0.8173913043478261,0.6576813944061614,0.8867924528301887,0.7580645161290323,0.8173913043478261,47,6,15
cellpose_official_cyto3,dsb2018,dsb2018_02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339_cp_masks.tif,23,23,0.95647983035327,0.9165896914834657,0.8618322299874347,0.9010064222595908,0.9565217391304348,0.9056176335527323,0.9565217391304348,0.9565217391304348,0.9565217391304348,22,1,1
cellpose_official_cyto3,dsb2018,dsb2018_03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776_cp_masks.tif,14,16,0.9269277351635042,0.8638073739653875,0.7476563731829327,0.8626804305956914,0.8666666666666667,0.6491344873501997,0.9285714285714286,0.8125,0.8666666666666667,13,1,3
cellpose_official_cyto3,dsb2018,dsb2018_03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe_cp_masks.tif,22,22,0.9652718557943952,0.9328748436967148,0.9076928089965474,0.9076928089965474,1.0,0.9301322436006584,1.0,1.0,1.0,22,0,0
cellpose_official_cyto3,dsb2018,dsb2018_03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a_cp_masks.tif,17,17,0.9739885210212332,0.9492959298961118,0.8391180809806374,0.9510004917780558,0.8823529411764706,0.7856367537548908,0.8823529411764706,0.8823529411764706,0.8823529411764706,15,2,2
cellpose_official_cyto3,dsb2018,dsb2018_0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd_cp_masks.tif,110,125,0.9349371569127396,0.8778234664563735,0.736694451088601,0.8404038641059283,0.8765957446808511,0.7636758015024865,0.9363636363636364,0.824,0.8765957446808511,103,7,22
cellpose_official_cyto3,dsb2018,dsb2018_04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e_cp_masks.tif,81,82,0.9250564958723424,0.8605628968594474,0.8063126114979843,0.8646641820669174,0.9325153374233128,0.767731941953367,0.9382716049382716,0.926829268292683,0.9325153374233128,76,5,6
cellpose_official_cyto3,dsb2018,dsb2018_05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13_cp_masks.tif,24,24,0.9736542835481425,0.9486611265004616,0.9470489968856176,0.9470489968856176,1.0,0.9486611265004616,1.0,1.0,1.0,24,0,0
cellpose_official_cyto3,dsb2018,dsb2018_0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275_cp_masks.tif,23,24,0.9601255143423818,0.9233090412206787,0.8839838073608722,0.903200846651326,0.9787234042553191,0.9212307342319286,1.0,0.9583333333333334,0.9787234042553191,23,0,1
cellpose_official_cyto3,dsb2018,dsb2018_05a8f65ebd0b30d3b210f30b4d640c847c2e710d0d135e0aeeaccbe1988e3b6e.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/dsb2018_05a8f65ebd0b30d3b210f30b4d640c847c2e710d0d135e0aeeaccbe1988e3b6e_cp_masks.tif,28,26,0.9351985188232874,0.8782843894899537,0.7956863774193658,0.8593412876129151,0.9259259259259259,0.7637880986937591,0.8928571428571429,0.9615384615384616,0.9259259259259259,25,3,1
