method,source,image,prediction_path,pred_n,gt_n,dice,binary_iou,pq,sq,rq,aji,precision,recall,f1,tp,fp,fn
cellsam_generalist,dsb2018,dsb2018_00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552_cellsam.tif,23,27,0.8987584367969336,0.8161319612590799,0.6886915636062622,0.8198709090550741,0.84,0.7800355977454762,0.9130434782608695,0.7777777777777778,0.84,21,2,6
cellsam_generalist,dsb2018,dsb2018_003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1_cellsam.tif,36,36,0.9192961761525607,0.8506458068037112,0.8516001866923438,0.8516001866923438,1.0,0.8496363636363636,1.0,1.0,1.0,36,0,0
cellsam_generalist,dsb2018,dsb2018_00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e_cellsam.tif,64,70,0.8741261058281701,0.7763978811065333,0.6814675678068133,0.8010232814571314,0.8507462686567164,0.6403608891787597,0.890625,0.8142857142857143,0.8507462686567164,57,7,13
cellsam_generalist,dsb2018,dsb2018_0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed_cellsam.tif,62,86,0.6368867136206279,0.4672294812064315,0.19196904188877825,0.6764623380842663,0.28378378378378377,0.22177819263753573,0.3387096774193548,0.2441860465116279,0.28378378378378377,21,41,65
cellsam_generalist,dsb2018,dsb2018_01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf_cellsam.tif,8,7,0.7593582887700535,0.6120689655172413,0.5498660961786906,0.6873326202233633,0.8,0.585081585081585,0.75,0.8571428571428571,0.8,6,2,1
cellsam_generalist,dsb2018,dsb2018_0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21_cellsam.tif,15,16,0.927246790299572,0.8643617021276596,0.8188624766565138,0.8461578925450642,0.967741935483871,0.8643617021276596,1.0,0.9375,0.967741935483871,15,0,1
cellsam_generalist,dsb2018,dsb2018_0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426_cellsam.tif,56,62,0.9039988533753762,0.8248156091436941,0.6905080211364617,0.7988230048441419,0.864406779661017,0.6716181896593033,0.9107142857142857,0.8225806451612904,0.864406779661017,51,5,11
cellsam_generalist,dsb2018,dsb2018_02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339_cellsam.tif,25,23,0.9587320387744288,0.9207351752626695,0.809909497698148,0.8835376338525252,0.9166666666666666,0.8706197889335899,0.88,0.9565217391304348,0.9166666666666666,22,3,1
cellsam_generalist,dsb2018,dsb2018_03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776_cellsam.tif,16,16,0.9289281598155974,0.8672883787661406,0.8207721039652824,0.8207721039652824,1.0,0.8266666666666667,1.0,1.0,1.0,16,0,0
cellsam_generalist,dsb2018,dsb2018_03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe_cellsam.tif,22,22,0.9642364701826956,0.9309426740993427,0.9097913178530607,0.9097913178530607,1.0,0.9291236042226594,1.0,1.0,1.0,22,0,0
cellsam_generalist,dsb2018,dsb2018_03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a_cellsam.tif,18,17,0.9711563905795184,0.9439300411522634,0.8432453291756766,0.9222995787858963,0.9142857142857143,0.7834769865123327,0.8888888888888888,0.9411764705882353,0.9142857142857143,16,2,1
cellsam_generalist,dsb2018,dsb2018_0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd_cellsam.tif,104,125,0.8956190692652992,0.8109693352541675,0.6834530486810675,0.8151601466039816,0.8384279475982532,0.690098914818016,0.9230769230769231,0.768,0.8384279475982532,96,8,29
cellsam_generalist,dsb2018,dsb2018_04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e_cellsam.tif,85,82,0.8619656956166621,0.7574162679425838,0.7197428991694651,0.7512316510081292,0.9580838323353293,0.7172722415174994,0.9411764705882353,0.975609756097561,0.9580838323353293,80,5,2
cellsam_generalist,dsb2018,dsb2018_05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/dsb2018_05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13_cellsam.tif,24,24,0.9515283052993309,0.9075383819216837,0.8908248965938886,0.8908248965938886,1.0,0.9075383819216837,1.0,1.0,1.0,24,0,0
