source,image,proposals,final_instances,sam2_selected,coarse_selected,watershed_selected,universal_boundary_selected,cellpose_style_selected,separator_selected,external_selected,separator_generated,separator_before_ranker,separator_after_ranker,separator_after_set_selector,separator_after_merge,proposals_before_ranker,proposals_after_ranker,proposals_after_set_selector,proposals_after_merge,ranked_proposals,final_pred_n,final_gt_n,final_dice,final_binary_iou,final_pq,final_sq,final_rq,final_aji,final_precision,final_recall,final_f1,final_tp,final_fp,final_fn
dsb2018,dsb2018_00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552.png,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,0.9636601307189543,0.9298688193743693,0.8109026046899649,0.9166725096495255,0.8846153846153846,0.90963554667998,0.92,0.8518518518518519,0.8846153846153846,23,2,4
dsb2018,dsb2018_003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1.png,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0.9853298153034301,0.9710838360723945,0.9687313271893395,0.9687313271893395,1.0,0.9694450218249844,1.0,1.0,1.0,36,0,0
dsb2018,dsb2018_00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e.png,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,70,0.8872704476731322,0.7973819386909693,0.6160980798060598,0.7988390356807386,0.7712418300653595,0.5804872362746241,0.7108433734939759,0.8428571428571429,0.7712418300653595,59,24,11
dsb2018,dsb2018_0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed.png,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,0.9417465926299848,0.8899065063919099,0.6379211018251819,0.8188241008502334,0.7790697674418605,0.7203149423956464,0.7790697674418605,0.7790697674418605,0.7790697674418605,67,19,19
dsb2018,dsb2018_01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.png,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0.9839318640793748,0.9683719322502592,0.845274011294047,0.9056507263864789,0.9333333333333333,0.8402003554693812,0.875,1.0,0.9333333333333333,7,1,0
dsb2018,dsb2018_0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21.png,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0.9767057657359987,0.9544720697449144,0.8765515439650592,0.9313360154628754,0.9411764705882353,0.9382004482869036,0.8888888888888888,1.0,0.9411764705882353,16,2,0
dsb2018,dsb2018_0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426.png,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,62,0.9682893331298642,0.9385279848538635,0.7902974472489468,0.9102533097778048,0.8682170542635659,0.8279959830395001,0.835820895522388,0.9032258064516129,0.8682170542635659,56,11,6
dsb2018,dsb2018_02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339.png,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,0.9882840069637228,0.9768393637801135,0.841209885974725,0.9176835119724274,0.9166666666666666,0.8383357841017213,0.88,0.9565217391304348,0.9166666666666666,22,3,1
dsb2018,dsb2018_03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776.png,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,0.9634977938227036,0.9295665634674922,0.8744085485284979,0.9017338156700134,0.9696969696969697,0.8958174904942966,0.9411764705882353,1.0,0.9696969696969697,16,1,0
dsb2018,dsb2018_03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe.png,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,0.9651741293532339,0.9326923076923077,0.8648510108823362,0.9041624204678969,0.9565217391304348,0.9224169456243495,0.9166666666666666,1.0,0.9565217391304348,22,2,0
dsb2018,dsb2018_03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a.png,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0.9940708685756035,0.9882116319347449,0.8767929739422268,0.928369031232946,0.9444444444444444,0.8296658097686376,0.8947368421052632,1.0,0.9444444444444444,17,2,0
dsb2018,dsb2018_0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd.png,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,125,0.9637507755029691,0.9300376325692782,0.7791286864633227,0.8705916192220605,0.8949416342412452,0.8382209188660802,0.8712121212121212,0.92,0.8949416342412452,115,17,10
dsb2018,dsb2018_04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e.png,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,82,0.9128876292097365,0.8397362165478107,0.7625459293986475,0.8301132902314391,0.9186046511627907,0.7672362993517973,0.8777777777777778,0.9634146341463414,0.9186046511627907,79,11,3
dsb2018,dsb2018_05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13.png,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0.9849708810820965,0.9703868221358505,0.9481688859511395,0.9679224044084549,0.9795918367346939,0.9663834503140007,0.96,1.0,0.9795918367346939,24,1,0
dsb2018,dsb2018_0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275.png,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,0.9874064873920453,0.9751262230082437,0.900743362903595,0.9382743363579115,0.96,0.9410198189106608,0.9230769230769231,1.0,0.96,24,2,0
dsb2018,dsb2018_05a8f65ebd0b30d3b210f30b4d640c847c2e710d0d135e0aeeaccbe1988e3b6e.png,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,0.9195449844881075,0.8510719754977029,0.7388522135359901,0.8275144791603088,0.8928571428571429,0.7317335243553008,0.8333333333333334,0.9615384615384616,0.8928571428571429,25,5,1
dsb2018,dsb2018_06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca.png,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0.9261878453038674,0.8625231529121218,0.8514951843964426,0.8514951843964426,1.0,0.8609911577215711,1.0,1.0,1.0,19,0,0
dsb2018,dsb2018_06c779330d6d3447be21df2b9f05d1088f5b3b50dc48724fc130b1fd2896a68c.png,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,0.9907167976830782,0.9816043657605493,0.8748680743677862,0.9396731169135483,0.9310344827586207,0.9390778950535262,0.9642857142857143,0.9,0.9310344827586207,27,1,3
dsb2018,dsb2018_072ff14c1d3245bf49ad6f1d4c71cdb18f1cb78a8e06fd2f53767e28f727cb81.png,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.9752925877763329,0.9517766497461929,0.8922835771854107,0.9666405419508616,0.9230769230769231,0.9517766497461929,1.0,0.8571428571428571,0.9230769230769231,6,0,1
dsb2018,dsb2018_07761fa39f60dc37022dbbe8d8694595fd5b77ceb2af2a2724768c8e524d6770.png,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.9224489795918367,0.8560606060606061,0.8571982741355896,0.8571982741355896,1.0,0.8560606060606061,1.0,1.0,1.0,5,0,0
dsb2018,dsb2018_077f026f4ab0f0bcc0856644d99cbf639e443ec4f067d7b708bc6cecac609424.png,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.9878419452887538,0.975975975975976,0.8424935432580801,0.9127013385295868,0.9230769230769231,0.8552631578947368,0.8571428571428571,1.0,0.9230769230769231,6,1,0
dsb2018,dsb2018_07fb37aafa6626608af90c1e18f6a743f29b6b233d2e427dcd1102df6a916cf5.png,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,313,0.937065195451793,0.8815829451083654,0.7970402275227702,0.8556461266053268,0.9315068493150684,0.8417596034696406,0.8895348837209303,0.9776357827476039,0.9315068493150684,306,38,7
dsb2018,dsb2018_08151b19806eebd58e5acec7e138dbfbb1761f41a1ab9620466584ecc7d5fada.png,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,0.9734586491048085,0.9482897578903253,0.8192928616817181,0.9261571479880292,0.8846153846153846,0.9102316907418528,0.8518518518518519,0.92,0.8846153846153846,23,4,2
dsb2018,dsb2018_08275a5b1c2dfcd739e8c4888a5ee2d29f83eccfa75185404ced1dc0866ea992.png,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,98,0.9134490147472796,0.8406867483856,0.7546566755983842,0.8788989331664109,0.8586387434554974,0.7813786393234039,0.8817204301075269,0.8367346938775511,0.8586387434554974,82,11,16
