method,source,image,prediction_path,pred_n,gt_n,dice,binary_iou,pq,sq,rq,aji,precision,recall,f1,tp,fp,fn
cellpose_official_cyto3,livecell,livecell_A172_Phase_A7_1_00d00h00m_2.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/livecell_A172_Phase_A7_1_00d00h00m_2_cp_masks.tif,70,70,0.9530783098313289,0.9103625598565801,0.8561140903404781,0.8812939165269628,0.9714285714285714,0.8450357679865129,0.9714285714285714,0.9714285714285714,0.9714285714285714,68,2,2
cellpose_official_cyto3,livecell,livecell_A172_Phase_A7_1_00d00h00m_3.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/livecell_A172_Phase_A7_1_00d00h00m_3_cp_masks.tif,83,84,0.9512200689356068,0.906977756496757,0.8436307621573259,0.8805396080017089,0.9580838323353293,0.8410237014624307,0.963855421686747,0.9523809523809523,0.9580838323353293,80,3,4
cellpose_official_cyto3,livecell,livecell_A172_Phase_A7_1_00d00h00m_4.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/livecell_A172_Phase_A7_1_00d00h00m_4_cp_masks.tif,68,68,0.9458920730298128,0.8973389240593056,0.8286746275775573,0.8804667918011546,0.9411764705882353,0.8380990309305721,0.9411764705882353,0.9411764705882353,0.9411764705882353,64,4,4
cellpose_official_cyto3,livecell,livecell_A172_Phase_A7_1_00d04h00m_1.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/livecell_A172_Phase_A7_1_00d04h00m_1_cp_masks.tif,65,77,0.9444947625423329,0.8948271680937191,0.7136582967261192,0.8444956511259079,0.8450704225352113,0.6926794314186205,0.9230769230769231,0.7792207792207793,0.8450704225352113,60,5,17
cellpose_official_cyto3,livecell,livecell_A172_Phase_A7_1_00d04h00m_2.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/livecell_A172_Phase_A7_1_00d04h00m_2_cp_masks.tif,66,74,0.9448948251848148,0.8955456268616301,0.685292341027941,0.8415870854729101,0.8142857142857143,0.6813630563686858,0.8636363636363636,0.7702702702702703,0.8142857142857143,57,9,17
cellpose_official_cyto3,livecell,livecell_A172_Phase_A7_1_00d04h00m_3.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/livecell_A172_Phase_A7_1_00d04h00m_3_cp_masks.tif,70,85,0.9195090823266141,0.8510104687474718,0.7284621200253887,0.8302325632642297,0.8774193548387097,0.7225242045984973,0.9714285714285714,0.8,0.8774193548387097,68,2,17
cellpose_official_cyto3,livecell,livecell_A172_Phase_A7_1_00d04h00m_4.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/livecell_A172_Phase_A7_1_00d04h00m_4_cp_masks.tif,67,77,0.9492655484946348,0.9034304977196114,0.7680162505971061,0.8507256929691022,0.9027777777777778,0.7721924774676491,0.9701492537313433,0.8441558441558441,0.9027777777777778,65,2,12
cellpose_official_cyto3,livecell,livecell_A172_Phase_A7_1_00d08h00m_3.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/livecell_A172_Phase_A7_1_00d08h00m_3_cp_masks.tif,79,83,0.9344030610670534,0.8768822684520224,0.7434578508506586,0.8137849448500453,0.9135802469135802,0.7125177027626879,0.9367088607594937,0.891566265060241,0.9135802469135802,74,5,9
cellpose_official_cyto3,livecell,livecell_A172_Phase_A7_1_00d08h00m_4.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/livecell_A172_Phase_A7_1_00d08h00m_4_cp_masks.tif,64,65,0.9374587480973612,0.8822798610582896,0.7640405708505202,0.8496658072389406,0.8992248062015504,0.741166813251246,0.90625,0.8923076923076924,0.8992248062015504,58,6,7
cellpose_official_cyto3,livecell,livecell_A172_Phase_A7_1_00d12h00m_1.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/livecell_A172_Phase_A7_1_00d12h00m_1_cp_masks.tif,75,85,0.9386573552601938,0.8844055780782374,0.7245641626417637,0.8164103241033958,0.8875,0.7192598545658763,0.9466666666666667,0.8352941176470589,0.8875,71,4,14
