method,source,image,prediction_path,pred_n,gt_n,dice,binary_iou,pq,sq,rq,aji,precision,recall,f1,tp,fp,fn
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_00d00h00m_2.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_00d00h00m_2_cellsam.tif,69,70,0.7184552638287025,0.5606166086524117,0.4880624031849045,0.6651046474774679,0.7338129496402878,0.41512794498929095,0.7391304347826086,0.7285714285714285,0.7338129496402878,51,18,19
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_00d00h00m_3.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_00d00h00m_3_cellsam.tif,88,84,0.7070665144754592,0.5468699839486356,0.3863795704619829,0.6781355726475619,0.5697674418604651,0.29130376524185986,0.5568181818181818,0.5833333333333334,0.5697674418604651,49,39,35
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_00d00h00m_4.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_00d00h00m_4_cellsam.tif,66,68,0.6969120054829989,0.5348157671741227,0.445549369747959,0.6633735060691833,0.6716417910447762,0.3669746258945999,0.6818181818181818,0.6617647058823529,0.6716417910447762,45,21,23
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_00d04h00m_1.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_00d04h00m_1_cellsam.tif,73,77,0.9021240893836457,0.8216995023391922,0.5505870620409647,0.7373933866620064,0.7466666666666667,0.5321283566647332,0.7671232876712328,0.7272727272727273,0.7466666666666667,56,17,21
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_00d04h00m_2.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_00d04h00m_2_cellsam.tif,65,74,0.9073179706545237,0.8303586462367402,0.5780902311956282,0.7726398282326185,0.7482014388489209,0.5994026424977195,0.8,0.7027027027027027,0.7482014388489209,52,13,22
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_00d04h00m_3.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_00d04h00m_3_cellsam.tif,74,85,0.8549543320839853,0.7466552261098929,0.4624238853934426,0.7069749786303594,0.6540880503144654,0.434814389390696,0.7027027027027027,0.611764705882353,0.6540880503144654,52,22,33
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_00d04h00m_4.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_00d04h00m_4_cellsam.tif,73,77,0.8796186653286503,0.7851064973218924,0.5721592823664348,0.7151991029580435,0.8,0.5881743565224321,0.821917808219178,0.7792207792207793,0.8,60,13,17
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_00d08h00m_3.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_00d08h00m_3_cellsam.tif,74,83,0.8808288838037122,0.7870368266806007,0.5458435442796937,0.7651556826063565,0.7133757961783439,0.4779185885933845,0.7567567567567568,0.6746987951807228,0.7133757961783439,56,18,27
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_00d08h00m_4.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_00d08h00m_4_cellsam.tif,55,65,0.9200539472278603,0.8519443585780525,0.6725026180346807,0.7911795506290361,0.85,0.6029109589041096,0.9272727272727272,0.7846153846153846,0.85,51,4,14
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_00d12h00m_1.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_00d12h00m_1_cellsam.tif,57,85,0.8420731049850843,0.7272247571158085,0.548778126777058,0.7792649400234223,0.704225352112676,0.48807316551379876,0.8771929824561403,0.5882352941176471,0.704225352112676,50,7,35
