source,image,proposals,final_instances,sam2_selected,coarse_selected,watershed_selected,universal_boundary_selected,cellpose_style_selected,separator_selected,external_selected,separator_generated,separator_before_ranker,separator_after_ranker,separator_after_set_selector,separator_after_merge,proposals_before_ranker,proposals_after_ranker,proposals_after_set_selector,proposals_after_merge,ranked_proposals,final_pred_n,final_gt_n,final_dice,final_binary_iou,final_pq,final_sq,final_rq,final_aji,final_precision,final_recall,final_f1,final_tp,final_fp,final_fn
livecell,livecell_A172_Phase_A7_1_00d00h00m_2.png,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,70,0.9372072791409947,0.8818344920385737,0.8002463058686593,0.8608710260102244,0.9295774647887324,0.761947757433227,0.9166666666666666,0.9428571428571428,0.9295774647887324,66,6,4
livecell,livecell_A172_Phase_A7_1_00d00h00m_3.png,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,84,0.9517667424731,0.90797228158798,0.8383800085933728,0.8895007408246761,0.9425287356321839,0.8702626065979643,0.9111111111111111,0.9761904761904762,0.9425287356321839,82,8,2
livecell,livecell_A172_Phase_A7_1_00d00h00m_4.png,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,68,0.9268601990461225,0.8636900786106972,0.7730303070914577,0.8443869508229769,0.9154929577464789,0.7987206188634335,0.8783783783783784,0.9558823529411765,0.9154929577464789,65,9,3
livecell,livecell_A172_Phase_A7_1_00d04h00m_1.png,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,77,0.9498525073746312,0.9044943820224719,0.6602624897744246,0.849682056512989,0.7770700636942676,0.6684588395815736,0.7625,0.7922077922077922,0.7770700636942676,61,19,16
livecell,livecell_A172_Phase_A7_1_00d04h00m_2.png,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,74,0.9694597377400717,0.9407296087724804,0.7080782537590967,0.8760968224476959,0.8082191780821918,0.7288522081972519,0.8194444444444444,0.7972972972972973,0.8082191780821918,59,13,15
livecell,livecell_A172_Phase_A7_1_00d04h00m_3.png,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,85,0.9634027312839293,0.9293896099853706,0.7258054681880745,0.8783298057058583,0.8263473053892215,0.7033663094256664,0.8414634146341463,0.8117647058823529,0.8263473053892215,69,13,16
livecell,livecell_A172_Phase_A7_1_00d04h00m_4.png,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,77,0.9700307909017851,0.9418056213069627,0.755925556887751,0.8819131497023762,0.8571428571428571,0.7896480398177176,0.8214285714285714,0.8961038961038961,0.8571428571428571,69,15,8
livecell,livecell_A172_Phase_A7_1_00d08h00m_3.png,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,83,0.9759363252424932,0.9530035575899027,0.7579822891288334,0.8859533249557793,0.8555555555555555,0.7890607161390762,0.7938144329896907,0.927710843373494,0.8555555555555555,77,20,6
livecell,livecell_A172_Phase_A7_1_00d08h00m_4.png,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,65,0.9734592147900101,0.9482908315141894,0.7269871536787453,0.8612001666655907,0.8441558441558441,0.7914214679987227,0.7303370786516854,1.0,0.8441558441558441,65,24,0
livecell,livecell_A172_Phase_A7_1_00d12h00m_1.png,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,85,0.9770160839495919,0.9550649512865351,0.7102419683273803,0.8670486366593992,0.8191489361702128,0.7708669212275492,0.7475728155339806,0.9058823529411765,0.8191489361702128,77,26,8
