method,source,image,prediction_path,pred_n,gt_n,dice,binary_iou,pq,sq,rq,aji,precision,recall,f1,tp,fp,fn
cellpose_official_cyto3,pannuke,pannuke_fold1_0.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/pannuke_fold1_0_cp_masks.tif,4,8,0.320364238410596,0.19073435189748644,0.12482524911562601,0.7489514946937561,0.16666666666666666,0.11542012927054478,0.25,0.125,0.16666666666666666,1,3,7
cellpose_official_cyto3,pannuke,pannuke_fold1_1.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/pannuke_fold1_1_cp_masks.tif,7,10,0.05196090560435482,0.02667344087387273,0.06561987540301155,0.5577689409255981,0.11764705882352941,0.02667344087387273,0.14285714285714285,0.1,0.11764705882352941,1,6,9
cellpose_official_cyto3,pannuke,pannuke_fold1_10.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/pannuke_fold1_10_cp_masks.tif,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,18
cellpose_official_cyto3,pannuke,pannuke_fold1_100.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/pannuke_fold1_100_cp_masks.tif,15,21,0.37479743807392546,0.23061583020749252,0.18025522430737814,0.6489188075065613,0.2777777777777778,0.10628308007512378,0.3333333333333333,0.23809523809523808,0.2777777777777778,5,10,16
cellpose_official_cyto3,pannuke,pannuke_fold1_1000.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/pannuke_fold1_1000_cp_masks.tif,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2
cellpose_official_cyto3,pannuke,pannuke_fold1_1001.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/pannuke_fold1_1001_cp_masks.tif,6,7,0.16622637675269253,0.09064716312056738,0.1297383033312284,0.8432989716529846,0.15384615384615385,0.09064716312056738,0.16666666666666666,0.14285714285714285,0.15384615384615385,1,5,6
cellpose_official_cyto3,pannuke,pannuke_fold1_1002.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/pannuke_fold1_1002_cp_masks.tif,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,5
cellpose_official_cyto3,pannuke,pannuke_fold1_1003.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/pannuke_fold1_1003_cp_masks.tif,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,6
cellpose_official_cyto3,pannuke,pannuke_fold1_1004.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/pannuke_fold1_1004_cp_masks.tif,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,5
cellpose_official_cyto3,pannuke,pannuke_fold1_1005.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/pannuke_fold1_1005_cp_masks.tif,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,5
cellpose_official_cyto3,pannuke,pannuke_fold1_1006.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/predictions/pannuke_fold1_1006_cp_masks.tif,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,7
