source,image,proposals,final_instances,sam2_selected,coarse_selected,watershed_selected,universal_boundary_selected,cellpose_style_selected,separator_selected,external_selected,separator_generated,separator_before_ranker,separator_after_ranker,separator_after_set_selector,separator_after_merge,proposals_before_ranker,proposals_after_ranker,proposals_after_set_selector,proposals_after_merge,ranked_proposals,final_pred_n,final_gt_n,final_dice,final_binary_iou,final_pq,final_sq,final_rq,final_aji,final_precision,final_recall,final_f1,final_tp,final_fp,final_fn
pannuke,pannuke_fold1_0.png,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0.771876426723482,0.6285006195786865,0.5255290780748639,0.788293617112296,0.6666666666666666,0.5843279083785413,0.5384615384615384,0.875,0.6666666666666666,7,6,1
pannuke,pannuke_fold1_1.png,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,0.7683946059580578,0.6238967527060783,0.475616089228926,0.7662703659799364,0.6206896551724138,0.48798352025635156,0.47368421052631576,0.9,0.6206896551724138,9,10,1
pannuke,pannuke_fold1_10.png,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,0.7876999817507148,0.6497566360580059,0.5541832290197674,0.7521058108125415,0.7368421052631579,0.48480332384952357,0.7,0.7777777777777778,0.7368421052631579,14,6,4
pannuke,pannuke_fold1_100.png,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,0.830443638531472,0.7100501231840965,0.5780572032928467,0.7606015832800614,0.76,0.6841532797858099,0.6551724137931034,0.9047619047619048,0.76,19,10,2
pannuke,pannuke_fold1_1000.png,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0.17940600030152268,0.09854256376283538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,2
pannuke,pannuke_fold1_1001.png,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0.5876857749469214,0.41611545399879735,0.28966355919837955,0.7241588979959488,0.4,0.3400986342943854,0.3076923076923077,0.5714285714285714,0.4,4,9,3
pannuke,pannuke_fold1_1002.png,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.9851230727616986,0.970682302771855,0.9590642571449279,0.9590642571449279,1.0,0.970682302771855,1.0,1.0,1.0,5,0,0
pannuke,pannuke_fold1_1003.png,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0.5342465753424658,0.3644859813084112,0.2965391987846011,0.7784153968095779,0.38095238095238093,0.33678343949044587,0.26666666666666666,0.6666666666666666,0.38095238095238093,4,11,2
pannuke,pannuke_fold1_1004.png,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0.6666666666666666,0.5,0.3568758964538574,0.8029707670211792,0.4444444444444444,0.433591967138293,0.3076923076923077,0.8,0.4444444444444444,4,9,1
pannuke,pannuke_fold1_1005.png,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0.6614386154678205,0.49414141414141416,0.18820897738138834,0.7057836651802063,0.26666666666666666,0.1728512527751348,0.2,0.4,0.26666666666666666,2,8,3
