method,source,image,prediction_path,pred_n,gt_n,dice,binary_iou,pq,sq,rq,aji,precision,recall,f1,tp,fp,fn
cellsam_generalist,tissuenet,tissuenet_test_0.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/tissuenet_test_0_cellsam.tif,339,352,0.9328234825296966,0.8741042060604135,0.7241086635506792,0.8044358304075873,0.9001447178002895,0.726155107058703,0.9174041297935103,0.8835227272727273,0.9001447178002895,311,28,41
cellsam_generalist,tissuenet,tissuenet_test_1.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/tissuenet_test_1_cellsam.tif,266,300,0.9116499416997953,0.8376440417742235,0.624523473712665,0.7618109614684664,0.8197879858657244,0.6430187654618958,0.8721804511278195,0.7733333333333333,0.8197879858657244,232,34,68
cellsam_generalist,tissuenet,tissuenet_test_10.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/tissuenet_test_10_cellsam.tif,209,208,0.9535802615113266,0.9112789318066253,0.7144353395457462,0.7881469221972914,0.9064748201438849,0.7341090834529423,0.9043062200956937,0.9086538461538461,0.9064748201438849,189,20,19
cellsam_generalist,tissuenet,tissuenet_test_100.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/tissuenet_test_100_cellsam.tif,51,48,0.9002460616002489,0.8185886225696944,0.6982874846217608,0.7514180541038513,0.9292929292929293,0.7443879816468498,0.9019607843137255,0.9583333333333334,0.9292929292929293,46,5,2
cellsam_generalist,tissuenet,tissuenet_test_1000.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/tissuenet_test_1000_cellsam.tif,113,119,0.801498444411522,0.6687504414777142,0.44506938755512243,0.6704941422908337,0.6637931034482759,0.43712265226978936,0.6814159292035398,0.6470588235294118,0.6637931034482759,77,36,42
cellsam_generalist,tissuenet,tissuenet_test_1001.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/tissuenet_test_1001_cellsam.tif,36,36,0.8509290044983375,0.7405364923747276,0.5488113943073485,0.7056146498237338,0.7777777777777778,0.5991117783198849,0.7777777777777778,0.7777777777777778,0.7777777777777778,28,8,8
cellsam_generalist,tissuenet,tissuenet_test_1002.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/tissuenet_test_1002_cellsam.tif,118,111,0.8223864432694146,0.6983500135244793,0.5267712846073002,0.6854012737219984,0.7685589519650655,0.5307923608289313,0.7457627118644068,0.7927927927927928,0.7685589519650655,88,30,23
cellsam_generalist,tissuenet,tissuenet_test_1003.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/tissuenet_test_1003_cellsam.tif,41,38,0.808946645008122,0.6791859001258918,0.4518083771572837,0.6864011883735657,0.6582278481012658,0.43869846596356665,0.6341463414634146,0.6842105263157895,0.6582278481012658,26,15,12
cellsam_generalist,tissuenet,tissuenet_test_1004.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/tissuenet_test_1004_cellsam.tif,64,67,0.9138098077209719,0.8412981577412604,0.7358164004697144,0.7900979382092835,0.9312977099236641,0.7587574139004489,0.953125,0.9104477611940298,0.9312977099236641,61,3,6
cellsam_generalist,tissuenet,tissuenet_test_1005.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/tissuenet_test_1005_cellsam.tif,28,33,0.9240035293666321,0.8587421563034797,0.6630419336381506,0.7777991913832151,0.8524590163934426,0.6890429598911424,0.9285714285714286,0.7878787878787878,0.8524590163934426,26,2,7
