source,image,proposals,final_instances,sam2_selected,coarse_selected,watershed_selected,universal_boundary_selected,cellpose_style_selected,separator_selected,external_selected,separator_generated,separator_before_ranker,separator_after_ranker,separator_after_set_selector,separator_after_merge,proposals_before_ranker,proposals_after_ranker,proposals_after_set_selector,proposals_after_merge,ranked_proposals,final_pred_n,final_gt_n,final_dice,final_binary_iou,final_pq,final_sq,final_rq,final_aji,final_precision,final_recall,final_f1,final_tp,final_fp,final_fn
tissuenet,tissuenet_test_0.png,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,352,0.9342674263666015,0.8766433995551124,0.39994196123814607,0.7362567922793144,0.5432098765432098,0.4528039714021045,0.4489795918367347,0.6875,0.5432098765432098,242,297,110
tissuenet,tissuenet_test_1.png,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,300,0.8839907395273664,0.7920998246492986,0.4072963163378453,0.7511444627939157,0.5422343324250681,0.4392139112066689,0.45852534562211983,0.6633333333333333,0.5422343324250681,199,235,101
tissuenet,tissuenet_test_10.png,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,208,0.9579217835614565,0.9192417310432761,0.6350337317174157,0.7836976978131113,0.810304449648712,0.663557021892116,0.7899543378995434,0.8317307692307693,0.810304449648712,173,46,35
tissuenet,tissuenet_test_100.png,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,48,0.8791989664082688,0.7844380403458213,0.6729696073917428,0.7746975712997969,0.8686868686868687,0.6871015203531142,0.8431372549019608,0.8958333333333334,0.8686868686868687,43,8,5
tissuenet,tissuenet_test_1000.png,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,119,0.8776861612682508,0.7820327353889394,0.5663353632081229,0.7736024291244978,0.7320754716981132,0.6422069018054392,0.6643835616438356,0.8151260504201681,0.7320754716981132,97,49,22
tissuenet,tissuenet_test_1001.png,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,0.8833563059958649,0.7910816232062953,0.5470912378085286,0.7699802606194107,0.7105263157894737,0.637466497390323,0.675,0.75,0.7105263157894737,27,13,9
tissuenet,tissuenet_test_1002.png,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,111,0.894177443383117,0.808608431825386,0.6169798308230461,0.8055014457967546,0.7659574468085106,0.663764553956385,0.7258064516129032,0.8108108108108109,0.7659574468085106,90,34,21
tissuenet,tissuenet_test_1003.png,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,0.850420325928709,0.7397663207778413,0.562344544728597,0.7810340899008291,0.72,0.5839470356319274,0.7297297297297297,0.7105263157894737,0.72,27,10,11
tissuenet,tissuenet_test_1004.png,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,67,0.8770242298794594,0.7809823267917163,0.5860921895667298,0.7779041788794777,0.7534246575342466,0.6488656896205581,0.6962025316455697,0.8208955223880597,0.7534246575342466,55,24,12
tissuenet,tissuenet_test_1005.png,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0.8663142637906045,0.764157328720764,0.5274963433092291,0.72530747205019,0.7272727272727273,0.5796632996632997,0.7272727272727273,0.7272727272727273,0.7272727272727273,24,9,9
tissuenet,tissuenet_test_1006.png,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,89,0.8834003294892916,0.7911522390878403,0.590430146112492,0.7724120404622327,0.7643979057591623,0.6634876786810489,0.7156862745098039,0.8202247191011236,0.7643979057591623,73,29,16
tissuenet,tissuenet_test_1007.png,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29,0.8863448275862069,0.7958880356700521,0.5682259003321329,0.7782224287157473,0.7301587301587301,0.6172206111978585,0.6764705882352942,0.7931034482758621,0.7301587301587301,23,11,6
tissuenet,tissuenet_test_1008.png,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0.7385257301808067,0.5854465270121278,0.4167658233642578,0.6511965990066528,0.64,0.37574742884477397,0.6153846153846154,0.6666666666666666,0.64,8,5,4
