source,method,n,f1,pq,aji,dice
cellpose,cellpose_official_cyto3,540,0.8823795041182917,0.7188881006947422,0.7317986937344553,0.9041120392260926
cellpose,cellsam_generalist,540,0.8373662929115797,0.6487053764298524,0.6529832046003171,0.8761528562014009
cellpose,samcell_refine_final,540,0.8996511404454196,0.7787768086100102,0.8028965820681254,0.9502978178522188
dsb2018,cellpose_official_cyto3,670,0.8663495535066845,0.7498307870781001,0.760935157909646,0.8857278646889297
dsb2018,cellsam_generalist,670,0.8623009348287723,0.7100742954149494,0.7257360953775898,0.8769405267459216
dsb2018,samcell_refine_final,670,0.9168577173773947,0.8317074804046648,0.8593378874794719,0.9577755601244937
livecell,cellpose_official_cyto3,1000,0.8127232208823262,0.6533048266891979,0.6362697128567675,0.8981184708459146
livecell,cellsam_generalist,1000,0.4573477059559598,0.3222637102980227,0.2648492913795652,0.614238949471081
livecell,samcell_refine_final,1000,0.7590812642073469,0.6103659305675526,0.5963662993439084,0.9229922762368177
pannuke,cellpose_official_cyto3,7558,0.33963704494948466,0.24993440339366815,0.21717544617086712,0.37801629763585354
pannuke,cellsam_generalist,7558,0.5737591841179505,0.4300545321672277,0.3944974491948336,0.6343153303889498
pannuke,samcell_refine_final,7558,0.7011858245180023,0.5749580604051402,0.593369403716422,0.8079260271799661
tissuenet,cellpose_official_cyto3,7009,0.460239436210456,0.31051855365277026,0.27544884658072316,0.582056981394573
tissuenet,cellsam_generalist,7009,0.847469487871789,0.6623197318936729,0.6733636774331372,0.9000232506638911
tissuenet,samcell_refine_final,7009,0.7656153339617822,0.6094823352036736,0.6110204799297018,0.9045609183193732
ALL,cellpose_official_cyto3,16777,0.456723928478451,0.33434581819206627,0.30478038690567677,0.5314693450256858
ALL,cellsam_generalist,16777,0.7011773669023262,0.5388845172832342,0.5248209538004489,0.7615980136927044
ALL,samcell_refine_final,16777,0.7465546812979627,0.6083056641278347,0.6182878545263122,0.8657230203902424
