source,image,method,f1,pq,aji,dice
pannuke,pannuke_fold3_1370.png,cellpose,0.17886178861788618,0.11030700923950693,0.06715063520871144,0.2503518648838846
pannuke,pannuke_fold3_1370.png,cellsam,0.2518518518518518,0.16252141793568928,0.10350610973564411,0.5230271887288606
pannuke,pannuke_fold3_1370.png,samcell,0.8682926829268293,0.7336282799883587,0.7663667164559729,0.9657419820563061
tissuenet,tissuenet_val_279.png,cellpose,0.6194690265486725,0.44803380333216847,0.41522045899041915,0.8732266246829353
tissuenet,tissuenet_val_279.png,cellsam,0.6386554621848739,0.47884474882558614,0.5038664631247028,0.9204566255637096
tissuenet,tissuenet_val_279.png,samcell,0.96,0.9200313472747802,0.966905283811334,0.9984803023808596
dsb2018,dsb2018_adc315bd40d699fd4e4effbcce81cd7162851007f485d754ad3b0472f73a86df.png,cellpose,0.5263157894736842,0.4745223710411473,0.3665162841242138,0.5364243198303492
dsb2018,dsb2018_adc315bd40d699fd4e4effbcce81cd7162851007f485d754ad3b0472f73a86df.png,cellsam,0.5,0.455646938085556,0.36465274218349564,0.5344256907439142
dsb2018,dsb2018_adc315bd40d699fd4e4effbcce81cd7162851007f485d754ad3b0472f73a86df.png,samcell,1.0,0.9740099310874939,0.9761628869392485,0.9879376780030156
livecell,livecell_A172_Phase_D7_2_00d04h00m_1.png,cellpose,0.8205128205128205,0.6693411719085823,0.642897870199564,0.8996794806361391
livecell,livecell_A172_Phase_D7_2_00d04h00m_1.png,cellsam,0.6060606060606061,0.4192296826478207,0.46405749550816344,0.8385499482429274
livecell,livecell_A172_Phase_D7_2_00d04h00m_1.png,samcell,0.9166666666666666,0.8236377815405528,0.8743852020814028,0.965365125543101
cellpose,cellpose_201.png,cellpose,0.28888888888888886,0.18962166706720984,0.12774994277575727,0.26669974290740156
cellpose,cellpose_201.png,cellsam,0.7603305785123967,0.5808483184861742,0.5370793186903512,0.7310646009417566
cellpose,cellpose_201.png,samcell,0.990990990990991,0.944075220340007,0.9423292587193002,0.9775256571255359
