method,source,n,aji,binary_iou,dice,f1,fn,fp,gt_n,pq,precision,pred_n,recall,rq,sq,tp
semantic_cc,ALL,1795,0.1053941457013709,0.8453549279876427,0.912511591351546,0.202184531413389,178.81782729805013,7.558774373259053,191.95208913649023,0.165386350519111,0.4966130654766885,20.69303621169917,0.1567462480886608,0.202184531413389,0.6427772140682745,13.13426183844011
semantic_cc,cellpose,147,0.1299689383348976,0.8769182100636715,0.932440156020638,0.2372591089611764,110.21768707482993,6.54421768707483,126.62585034013604,0.2013183882242348,0.4675818871875472,22.952380952380956,0.1885191905642169,0.2372591089611764,0.6138932605072867,16.408163265306122
semantic_cc,dsb2018,142,0.6834893079619995,0.9064220243348547,0.9490731410487574,0.839140867712338,12.23943661971831,3.316901408450704,42.53521126760563,0.7459841682018946,0.91746695891018,33.61267605633803,0.7806320392697947,0.839140867712338,0.8767607884798829,30.295774647887324
semantic_cc,livecell,149,0.0866580624247018,0.849567992087872,0.9165674639427364,0.1899168283287624,267.4697986577181,17.25503355704698,287.1275167785235,0.157532248329189,0.4358848919260825,36.91275167785235,0.1384713856642772,0.1899168283287624,0.7179976838640993,19.65771812080537
semantic_cc,tissuenet,1357,0.0442958913536082,0.8350829481074549,0.9060815514993368,0.1330792440925591,193.94620486366983,7.047899778924097,204.21370670596903,0.1016010605947851,0.4623867045334227,17.315401621223288,0.0900259456639042,0.1330792440925591,0.6131621983036754,10.26750184229919
semantic_cc,SOURCE_MACRO,4,0.2361030500188018,,0.9260405781278672,,,,,0.3016089663375259,,,,,,
raw_watershed,ALL,1795,0.6259137173847178,0.8443305049493068,0.9118462487748714,0.7613873376405039,39.57604456824512,63.95710306406685,191.95208913649023,0.6146743799880663,0.7241119334670791,216.333147632312,0.8188061294928041,0.7613873376405039,0.7987074703455709,152.3760445682451
raw_watershed,cellpose,147,0.7003550764115946,0.8777201812781829,0.9328936512323194,0.6606720319362714,12.782312925170068,99.6122448979592,126.62585034013604,0.561144246057247,0.5377130494157756,213.4557823129252,0.9106207766074264,0.6606720319362714,0.8416646642403693,113.84353741496598
raw_watershed,dsb2018,142,0.8365384687616869,0.9063923505780048,0.949058314660548,0.9039011282771126,3.014084507042253,6.436619718309859,42.53521126760563,0.8074687663157485,0.8812472086308663,45.95774647887324,0.9332912825769992,0.9039011282771126,0.8820644441573017,39.52112676056338
raw_watershed,livecell,149,0.5829954164346796,0.8489004966840992,0.9161394500424076,0.7489567686185168,67.91275167785236,101.744966442953,287.1275167785235,0.5998886404276598,0.708293087349938,320.9597315436242,0.804272182352845,0.7489567686185168,0.79569241641898,219.21476510067117
