source,method,n,pq,aji,dice,summary_path,error_1_minus_pq
cellpose,cellpose_official_cyto3,540,0.7188881006947422,0.7317986937344553,0.9041120392260928,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/metrics/summary_by_source.csv,0.2811118993052578
cellpose,cellsam_generalist,540,0.6487053764298524,0.6529832046003171,0.8761528562014009,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/metrics/summary_by_source.csv,0.3512946235701476
cellpose,samcell_refine_final,540,0.7787768086100102,0.8028965820681254,0.9502978178522188,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/samcell_refine_final/summary.csv,0.2212231913899898
dsb2018,cellpose_official_cyto3,670,0.7498307870781001,0.760935157909646,0.88572786468893,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/metrics/summary_by_source.csv,0.25016921292189986
dsb2018,cellsam_generalist,670,0.7100742954149494,0.7257360953775898,0.8769405267459216,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/metrics/summary_by_source.csv,0.2899257045850506
dsb2018,samcell_refine_final,670,0.8317074804046648,0.8593378874794719,0.9577755601244936,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/samcell_refine_final/summary.csv,0.1682925195953352
livecell,cellpose_official_cyto3,1000,0.6533048266891979,0.6362697128567675,0.8981184708459146,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/metrics/summary_by_source.csv,0.34669517331080213
livecell,cellsam_generalist,1000,0.3222637102980227,0.2648492913795652,0.614238949471081,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/metrics/summary_by_source.csv,0.6777362897019773
livecell,samcell_refine_final,1000,0.6103659305675526,0.5963662993439084,0.9229922762368176,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/samcell_refine_final/summary.csv,0.3896340694324474
pannuke,cellpose_official_cyto3,7558,0.2499344033936681,0.2171754461708671,0.3780162976358535,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/metrics/summary_by_source.csv,0.7500655966063319
pannuke,cellsam_generalist,7558,0.4300545321672277,0.3944974491948336,0.6343153303889498,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/metrics/summary_by_source.csv,0.5699454678327722
pannuke,samcell_refine_final,7558,0.5749580604051403,0.593369403716422,0.8079260271799661,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/samcell_refine_final/summary.csv,0.4250419395948597
tissuenet,cellpose_official_cyto3,7009,0.3105185536527702,0.2754488465807232,0.582056981394573,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/metrics/summary_by_source.csv,0.6894814463472299
tissuenet,cellsam_generalist,7009,0.6623197318936729,0.6733636774331372,0.9000232506638911,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/metrics/summary_by_source.csv,0.3376802681063271
tissuenet,samcell_refine_final,7009,0.6094823352036736,0.6110204799297018,0.9045609183193732,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/samcell_refine_final/summary.csv,0.39051766479632644
ALL,cellpose_official_cyto3,16777,0.3343458181920663,0.3047803869056767,0.5314693450256859,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellpose_official_cyto3/metrics/summary_by_source.csv,0.6656541818079337
ALL,cellsam_generalist,16777,0.538884517283234,0.5248209538004489,0.7615980136927044,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/metrics/summary_by_source.csv,0.46111548271676595
ALL,samcell_refine_final,16777,0.6083056641278347,0.6182878545263122,0.8657230203902424,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/samcell_refine_final/summary.csv,0.3916943358721653
