run,epoch,train_loss,test_loss,lr,time_s
iid,0,1.850600,1.856000,0.000000000,25.48
iid,5,1.229300,1.101100,0.111111000,138.73
iid,10,1.073700,1.047100,0.200000000,253.65
iid,20,1.028100,1.037400,0.200000000,482.24
iid,30,1.004200,0.991200,0.200000000,711.51
iid,40,0.992700,1.000100,0.200000000,937.87
iid,50,0.986100,0.994400,0.200000000,1164.59
iid,60,0.976500,0.963900,0.200000000,1393.32
iid,70,0.966000,0.981000,0.200000000,1619.73
iid,80,0.958800,0.965700,0.200000000,1846.78
iid,90,0.955700,0.968500,0.200000000,2074.14
iid,100,0.956000,0.952000,0.200000000,2301.10
iid,110,0.949200,0.959200,0.200000000,2528.48
iid,120,0.940800,0.944200,0.200000000,2754.50
iid,130,0.937200,0.938700,0.200000000,2981.88
iid,140,0.933900,0.960000,0.200000000,3207.30
iid,150,0.927800,0.943600,0.200000000,3432.91
iid,160,0.926100,0.926500,0.200000000,3657.79
iid,170,0.921400,0.930900,0.200000000,3883.79
iid,180,0.917100,0.972700,0.200000000,4108.95
iid,190,0.913900,0.919300,0.200000000,4336.01
iid,200,0.908300,0.908600,0.200000000,4561.28
iid,210,0.902000,0.911300,0.200000000,4786.94
iid,220,0.902700,0.921500,0.200000000,5012.51
iid,230,0.897700,0.902800,0.200000000,5237.91
iid,240,0.890500,0.923900,0.200000000,5463.56
iid,250,0.891300,0.899300,0.200000000,5688.96
iid,260,0.883600,0.896100,0.200000000,5914.64
iid,270,0.880200,0.906600,0.200000000,6139.93
iid,280,0.878200,0.890800,0.200000000,6365.85
iid,290,0.872900,0.890700,0.200000000,6591.14
iid,300,0.871400,0.894400,0.200000000,6816.60
iid,310,0.866300,0.945100,0.200000000,7045.16
iid,320,0.862000,0.868400,0.200000000,7271.36
iid,330,0.856000,0.875300,0.200000000,7497.54
iid,340,0.852800,0.885500,0.200000000,7723.22
iid,350,0.852300,0.877300,0.200000000,7948.34
iid,360,0.849500,0.887000,0.200000000,8176.08
iid,370,0.845100,0.876300,0.200000000,8401.43
iid,380,0.846100,0.878900,0.200000000,8627.81
iid,390,0.841200,0.869700,0.200000000,8854.36
iid,400,0.838100,0.850200,0.100000000,9083.26
iid,410,0.810400,0.832800,0.050000000,9311.37
iid,420,0.796600,0.827600,0.025000000,9541.22
iid,430,0.790000,0.824900,0.012500000,9769.49
iid,440,0.790400,0.822800,0.006250000,9996.31
iid,450,0.785400,0.821800,0.003125000,10221.84
iid,460,0.785000,0.823100,0.001563000,10447.78
iid,470,0.781400,0.821700,0.000781000,10674.86
iid,480,0.784500,0.823500,0.000391000,10903.86
iid,490,0.781900,0.822400,0.000195000,11131.47
pannuke,0,1.855300,1.824100,0.000000000,11.28
pannuke,5,0.789400,0.581800,0.111111000,61.82
pannuke,10,0.586500,0.541500,0.200000000,113.34
pannuke,20,0.553600,0.509400,0.200000000,216.17
pannuke,30,0.538500,0.502000,0.200000000,319.48
pannuke,40,0.526100,0.492700,0.200000000,422.95
pannuke,50,0.520800,0.491400,0.200000000,526.74
pannuke,60,0.516800,0.489000,0.200000000,630.71
pannuke,70,0.512500,0.487600,0.200000000,735.04
pannuke,80,0.510300,0.482900,0.200000000,839.18
pannuke,90,0.507600,0.481600,0.200000000,943.57
pannuke,100,0.502800,0.478800,0.200000000,1048.19
pannuke,110,0.498600,0.483800,0.200000000,1152.75
pannuke,120,0.498600,0.478700,0.200000000,1257.02
pannuke,130,0.497100,0.469700,0.200000000,1361.48
pannuke,140,0.498300,0.469200,0.200000000,1466.11
pannuke,150,0.492100,0.478600,0.200000000,1570.83
pannuke,160,0.494200,0.468700,0.200000000,1675.75
pannuke,170,0.491700,0.465300,0.200000000,1780.70
pannuke,180,0.491000,0.464000,0.200000000,1885.76
pannuke,190,0.490700,0.464600,0.200000000,1990.84
pannuke,200,0.488000,0.475700,0.200000000,2095.36
pannuke,210,0.486200,0.461500,0.200000000,2200.58
pannuke,220,0.486500,0.462200,0.200000000,2305.32
pannuke,230,0.486700,0.460900,0.200000000,2410.41
pannuke,240,0.485700,0.462400,0.200000000,2515.22
pannuke,250,0.484900,0.457400,0.200000000,2619.94
pannuke,260,0.484100,0.467800,0.200000000,2725.25
pannuke,270,0.482400,0.465100,0.200000000,2830.15
pannuke,280,0.481700,0.464800,0.200000000,2935.07
pannuke,290,0.479400,0.461900,0.200000000,3040.28
pannuke,300,0.479500,0.454200,0.200000000,3145.68
pannuke,310,0.479300,0.454000,0.200000000,3250.50
pannuke,320,0.479300,0.457500,0.200000000,3355.47
pannuke,330,0.477200,0.456400,0.200000000,3460.52
pannuke,340,0.476000,0.462200,0.200000000,3565.33
pannuke,350,0.474500,0.451400,0.200000000,3670.29
pannuke,360,0.476500,0.449700,0.200000000,3775.41
pannuke,370,0.476400,0.449700,0.200000000,3881.08
pannuke,380,0.475500,0.447800,0.200000000,3986.40
pannuke,390,0.474500,0.450600,0.200000000,4091.23
pannuke,400,0.471900,0.456400,0.100000000,4195.87
pannuke,410,0.465200,0.445500,0.050000000,4301.01
pannuke,420,0.463300,0.444700,0.025000000,4406.01
pannuke,430,0.460700,0.443000,0.012500000,4511.40
pannuke,440,0.458000,0.441500,0.006250000,4616.31
pannuke,450,0.460800,0.440300,0.003125000,4721.10
pannuke,460,0.458100,0.440600,0.001563000,4826.60
pannuke,470,0.459300,0.441100,0.000781000,4931.82
pannuke,480,0.459300,0.440700,0.000391000,5037.26
pannuke,490,0.458700,0.440900,0.000195000,5142.29
